,fips,fraction_votes,candidate
541,19077,0.0,Martin O'Malley
542,19077,0.031,Mike Huckabee
543,19077,0.037000000000000005,Rand Paul
544,19077,0.0090000000000000011,Rick Santorum
545,19077,0.28899999999999998,Ted Cruz
546,19079,0.092999999999999999,Ben Carson
547,19079,0.41099999999999998,Bernie Sanders
548,19079,0.014999999999999999,Carly Fiorina
549,19079,0.021999999999999999,Chris Christie
550,19079,0.28100000000000003,Donald Trump
551,19079,0.58899999999999997,Hillary Clinton
552,19079,0.014,Jeb Bush
553,19079,0.021000000000000001,John Kasich
554,19079,0.16600000000000001,Marco Rubio
555,19079,0.0,Martin O'Malley
556,19079,0.025999999999999999,Mike Huckabee
557,19079,0.050000000000000003,Rand Paul
558,19079,0.021000000000000001,Rick Santorum
559,19079,0.28899999999999998,Ted Cruz
560,19081,0.084000000000000005,Ben Carson
561,19081,0.38800000000000001,Bernie Sanders
562,19081,0.021999999999999999,Carly Fiorina
563,19081,0.0060000000000000001,Chris Christie
564,19081,0.188,Donald Trump
565,19081,0.61199999999999999,Hillary Clinton
566,19081,0.025999999999999999,Jeb Bush
567,19081,0.0069999999999999993,John Kasich
568,19081,0.155,Marco Rubio
569,19081,0.0,Martin O'Malley
570,19081,0.019,Mike Huckabee
571,19081,0.025000000000000001,Rand Paul
572,19081,0.014,Rick Santorum
573,19081,0.45300000000000001,Ted Cruz
574,19083,0.109,Ben Carson
575,19083,0.42299999999999999,Bernie Sanders
576,19083,0.02,Carly Fiorina
577,19083,0.025999999999999999,Chris Christie
578,19083,0.23200000000000001,Donald Trump
579,19083,0.57700000000000007,Hillary Clinton
580,19083,0.014999999999999999,Jeb Bush
581,19083,0.0090000000000000011,John Kasich
582,19083,0.17699999999999999,Marco Rubio
583,19083,0.0,Martin O'Malley
584,19083,0.024,Mike Huckabee
585,19083,0.035000000000000003,Rand Paul
586,19083,0.023,Rick Santorum
587,19083,0.32800000000000001,Ted Cruz
588,19085,0.217,Ben Carson
589,19085,0.54700000000000004,Bernie Sanders
590,19085,0.024,Carly Fiorina
591,19085,0.017000000000000001,Chris Christie
592,19085,0.309,Donald Trump
593,19085,0.45300000000000001,Hillary Clinton
594,19085,0.0050000000000000001,Jeb Bush
595,19085,0.01,John Kasich
596,19085,0.11,Marco Rubio
597,19085,0.0,Martin O'Malley
598,19085,0.01,Mike Huckabee
599,19085,0.017000000000000001,Rand Paul
600,19085,0.0060000000000000001,Rick Santorum
601,19085,0.27700000000000002,Ted Cruz
602,19087,0.156,Ben Carson
603,19087,0.5,Bernie Sanders
604,19087,0.014999999999999999,Carly Fiorina
605,19087,0.0060000000000000001,Chris Christie
606,19087,0.22500000000000001,Donald Trump
607,19087,0.5,Hillary Clinton
608,19087,0.025999999999999999,Jeb Bush
609,19087,0.01,John Kasich
610,19087,0.188,Marco Rubio
611,19087,0.0,Martin O'Malley
612,19087,0.027000000000000003,Mike Huckabee
613,19087,0.025000000000000001,Rand Paul
614,19087,0.01,Rick Santorum
615,19087,0.313,Ted Cruz
616,19089,0.070999999999999994,Ben Carson
617,19089,0.53900000000000003,Bernie Sanders
618,19089,0.0080000000000000002,Carly Fiorina
619,19089,0.0050000000000000001,Chris Christie
620,19089,0.30499999999999999,Donald Trump
621,19089,0.46100000000000002,Hillary Clinton
622,19089,0.052000000000000005,Jeb Bush
623,19089,0.0,John Kasich
624,19089,0.24299999999999999,Marco Rubio
625,19089,0.0,Martin O'Malley
626,19089,0.014,Mike Huckabee
627,19089,0.014,Rand Paul
628,19089,0.0,Rick Santorum
629,19089,0.28899999999999998,Ted Cruz
630,19091,0.079000000000000001,Ben Carson
631,19091,0.44500000000000001,Bernie Sanders
632,19091,0.01,Carly Fiorina
633,19091,0.014999999999999999,Chris Christie
634,19091,0.33700000000000002,Donald Trump
635,19091,0.55500000000000005,Hillary Clinton
636,19091,0.023,Jeb Bush
637,19091,0.0050000000000000001,John Kasich
638,19091,0.183,Marco Rubio
639,19091,0.0,Martin O'Malley
640,19091,0.028000000000000001,Mike Huckabee
