,party1,candidate1,party2,candidate2,Rvalue,Pvalue,StdError,Slope,Intercept
64,Republican,Donald Trump,Republican,Marco Rubio,-0.49307775462041947,2.4948215559408759e-07,0.089447918750267058,-0.49671740584609586,0.32189655604587764
65,Republican,Donald Trump,Democrat,Martin O'Malley,0.10829188247187356,0.28850580099101208,0.040830696838071064,0.043579262407585223,-0.0035223211502387435
66,Republican,Donald Trump,Republican,Mike Huckabee,0.16641881124988361,0.10147040273862046,0.032054884908023121,0.053006733703186988,0.0097856456874672003
67,Republican,Donald Trump,Republican,Rand Paul,-0.28248264564286057,0.004829473665573486,0.031573310683180686,-0.091097311127985622,0.058778891148989029
68,Republican,Donald Trump,Republican,Rick Santorum,-0.0885561985979786,0.38587689633918443,0.019942926709082869,-0.017372131168635552,0.014668394468712227
69,Republican,Donald Trump,Republican,Ted Cruz,-0.24277695363659293,0.016010055518616145,0.10086277376851298,-0.24732355147617643,0.36545520912357887
70,Democrat,Hillary Clinton,Republican,Ben Carson,0.056138720863162746,0.58297269538091767,0.047948944879791955,0.026415729984199696,0.092121349070952721
71,Democrat,Hillary Clinton,Democrat,Bernie Sanders,-0.95769844933233939,9.9299150287953189e-54,0.030024043403513223,-0.97899965254080301,0.98044119727997081
72,Democrat,Hillary Clinton,Republican,Carly Fiorina,0.083576247613630555,0.41325448120104791,0.024151602118049571,0.019846618587959462,0.0099275375295428681
73,Democrat,Hillary Clinton,Republican,Chris Christie,-0.079408859077439886,0.4370113596761801,0.011657141165507943,-0.0090985093096171872,0.017485854141300876
74,Democrat,Hillary Clinton,Republican,Donald Trump,0.21196341062824359,0.036146213898986763,0.072722818588379867,0.15454297658575669,0.18913533015813472
75,Democrat,Hillary Clinton,Democrat,Hillary Clinton,1.0,0.0,0.0,1.0,0.0
76,Democrat,Hillary Clinton,Republican,Jeb Bush,0.031492614141039488,0.75820616304660882,0.016070166971430731,0.0049611252095592712,0.021099506007346523
77,Democrat,Hillary Clinton,Republican,John Kasich,-0.24677594237234721,0.01430051524446699,0.012532661251260589,-0.031269824122791542,0.028580757219625878
78,Democrat,Hillary Clinton,Republican,Marco Rubio,-0.28908636919668923,0.0038893308434031302,0.071762267873791724,-0.21232931440203448,0.29828453051807591
79,Democrat,Hillary Clinton,Democrat,Martin O'Malley,-0.070955825331551758,0.48750028597534312,0.029870376067965485,-0.020819025727969585,0.019015748603455243
80,Democrat,Hillary Clinton,Republican,Mike Huckabee,0.063809361900663553,0.53248821564860682,0.023653501313198037,0.014818403067196229,0.016373043837228651
81,Democrat,Hillary Clinton,Republican,Rand Paul,-0.33003783766471079,0.00090406776944602029,0.0226528933031401,-0.077600745430960266,0.074506223484052808
82,Democrat,Hillary Clinton,Republican,Rick Santorum,-0.068462397749684628,0.50296369925233342,0.014563531785561913,-0.0097920723436858703,0.015070182839946
83,Democrat,Hillary Clinton,Republican,Ted Cruz,0.16064967434171315,0.11405470710286601,0.074822632226166683,0.11932357040828505,0.23693870472031375
84,Republican,Jeb Bush,Republican,Ben Carson,-0.15512510481320002,0.12720787609619846,0.30116446377598705,-0.46335165210267626,0.11679567176406336
85,Republican,Jeb Bush,Democrat,Bernie Sanders,0.01379404919242126,0.89276332580027995,0.66222464508389456,0.08951051338066697,0.47039117968323324
86,Republican,Jeb Bush,Republican,Carly Fiorina,0.009552511017360649,0.92562247114135243,0.15384264816999424,0.014399576734025109,0.019883601856908795
87,Republican,Jeb Bush,Republican,Chris Christie,0.18954581889954036,0.061578809206453103,0.072886822253508024,0.13786182413981435,0.009501638448935007
88,Republican,Jeb Bush,Republican,Donald Trump,-0.11809860471935042,0.24679289583318365,0.46906318590396867,-0.54658997815401433,0.28225600764609504
89,Republican,Jeb Bush,Democrat,Hillary Clinton,0.031492614141039488,0.75820616304660882,0.64755615757251161,0.19991125068268678,0.51409393773894052
90,Republican,Jeb Bush,Republican,Jeb Bush,1.0,0.0,0.0,1.0,0.0
91,Republican,Jeb Bush,Republican,John Kasich,0.17752076396453659,0.080336701331687937,0.080790870120072411,0.14279082468596394,0.0089767886400873853
92,Republican,Jeb Bush,Republican,Marco Rubio,0.2176984421960276,0.031291126271729919,0.46444278776822745,1.0150003413435285,0.1640938694702348
93,Republican,Jeb Bush,Democrat,Martin O'Malley,-0.13637102586597818,0.18058779323234758,0.18831674182326885,-0.25399371927908249,0.014227198252321136
94,Republican,Jeb Bush,Republican,Mike Huckabee,-0.15527212807314167,0.12684340691085327,0.14863136608049507,-0.22889643637356633,0.029479997269251774
95,Republican,Jeb Bush,Republican,Rand Paul,0.093058064467373636,0.36209116035688871,0.15167235349628436,0.13889438831239759,0.03095678590933916
96,Republican,Jeb Bush,Republican,Rick Santorum,-0.10033785354615467,0.32559116655528197,0.092197292251914975,-0.091099467504096143,0.012146436373566358
97,Republican,Jeb Bush,Republican,Ted Cruz,-0.23348949727973317,0.020675865171976462,0.46791404463158304,-1.1008857864554888,0.32490872474057891
98,Republican,John Kasich,Republican,Ben Carson,-0.14549459041511001,0.15287166576365688,0.37496937358698895,-0.54028676681038867,0.1125029313735447
99,Republican,John Kasich,Democrat,Bernie Sanders,0.27316615266619931,0.0064991206998580081,0.79205553141124851,2.2037281531885049,0.44527842047437471
100,Republican,John Kasich,Republican,Carly Fiorina,0.0040792163121693755,0.96820138149555002,0.19126777496529793,0.0076446528976743568,0.020130023727968533
101,Republican,John Kasich,Republican,Chris Christie,0.25190426448036046,0.01234173252028796,0.089311462360927754,0.22777926526391601,0.009950605201687732
102,Republican,John Kasich,Republican,Donald Trump,-0.14035752506741023,0.16805663468502374,0.58144626756584539,-0.80760956874186396,0.27929607334435103
103,Republican,John Kasich,Democrat,Hillary Clinton,-0.24677594237234721,0.01430051524446699,0.78054520856768428,-1.9475122563728529,0.54289221778028085
104,Republican,John Kasich,Republican,Jeb Bush,0.17752076396453659,0.080336701331687937,0.1248705424215001,0.22069780539372735,0.020946275078246902
105,Republican,John Kasich,Republican,John Kasich,1.0,0.0,0.0,1.0,0.0
106,Republican,John Kasich,Republican,Marco Rubio,0.3385228225837133,0.00065092814591667398,0.55666565783425437,1.9622199037955519,0.16387501731126103
107,Republican,John Kasich,Democrat,Martin O'Malley,-0.10888089907861381,0.28587573853745518,0.23492240463880887,-0.25211659018936217,0.011329726435911404
108,Republican,John Kasich,Republican,Mike Huckabee,-0.24622305083679649,0.014527002179787921,0.18129176706158853,-0.45125610510474473,0.029637460645733121
109,Republican,John Kasich,Republican,Rand Paul,0.3845463774632914,9.2521920258958816e-05,0.1748217019717368,0.7135563331517577,0.025427380413808383
